Language,Korean,English,ChineseSimplified,ChineseTraditional
buff_idx_1000911_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001011_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001111_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001211_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001311_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001411_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001511_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001611_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001711_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001811_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1001911_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002011_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002111_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002211_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002311_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002411_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002511_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002611_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002711_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002811_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1002911_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003011_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003111_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003211_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003311_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003411_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003511_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003611_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003711_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003811_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1003911_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004011_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004111_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004211_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004311_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004411_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004511_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004611_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004711_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004811_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1004911_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1005011_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1005111_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1005211_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1005311_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1005411_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1005511_name_key,공격력 증가,Increases attack power,攻击力增加,攻擊力增加
buff_idx_1000012_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1000112_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1000212_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1000312_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1000412_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1000512_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1000612_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1000712_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1000812_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1000912_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1001012_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1001112_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1001212_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1001312_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1001412_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1001512_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1001612_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1001712_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1001812_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1001912_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1002012_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1002112_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1002212_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1002312_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1002412_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1002512_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1002612_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1002712_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1002812_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1002912_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1003012_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1003112_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1003212_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1003312_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1003412_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1003512_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1003612_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1003712_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1003812_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1003912_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1004012_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1004112_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1004212_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1004312_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1004412_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1004512_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1004612_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1004712_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1004812_name_key,불속성 피해량 증가,Increases fire damage,火属性伤害增加,火屬性傷害增加
buff_idx_1004912_name_key,바람속성 피해량 증가,Increases wind damage,风属性伤害增加,風屬性傷害增加
buff_idx_1005012_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1005112_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1005212_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1005312_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1005412_name_key,땅속성 피해량 증가,Increases land damage,土属性伤害增加,土屬性傷害增加
buff_idx_1005512_name_key,물속성 피해량 증가,Increases water damage,水属性伤害增加,水屬性傷害增加
buff_idx_1004113_name_key,용병 공격력 증가,Increase soldier attack,佣兵攻击力增加,傭兵攻擊力增加
buff_idx_1004213_name_key,탭 공격력 증가,Tap Increase attack power,点击的攻击力增加,點擊的攻擊力增加
buff_idx_1004313_name_key,탭 공격력 증가,Tap Increase attack power,点击的攻击力增加,點擊的攻擊力增加
buff_idx_1004413_name_key,용병 공격력 증가,Increase soldier attack,佣兵攻击力增加,傭兵攻擊力增加
buff_idx_1004513_name_key,일반 픽셀 피해량 증가,Increase regular pixel damage,普通砖块破坏力增加,普通磚塊破壞力增加
buff_idx_1004613_name_key,일반 픽셀 피해량 증가,Increase regular pixel damage,普通砖块破坏力增加,普通磚塊破壞力增加
buff_idx_1004713_name_key,탭 공격력 증가,Tap Increase attack power,点击的攻击力增加,點擊的攻擊力增加
buff_idx_1004813_name_key,보스 픽셀 피해량 증가,Increase boss pixel damage,boss砖块伤害增加,boss磚塊傷害增加
buff_idx_1004913_name_key,일반 픽셀 피해량 증가,Increase regular pixel damage,普通砖块破坏力增加,普通磚塊破壞力增加
buff_idx_1005013_name_key,용병 공격력 증가,Increase soldier attack,佣兵攻击力增加,傭兵攻擊力增加
buff_idx_1005113_name_key,일반 픽셀 피해량 증가,Increase regular pixel damage,普通砖块破坏力增加,普通磚塊破壞力增加
buff_idx_1005213_name_key,보스 픽셀 피해량 증가,Increase boss pixel damage,boss砖块伤害增加,boss磚塊傷害增加
buff_idx_1005313_name_key,탭 공격력 증가,Tap Increase attack power,点击的攻击力增加,點擊的攻擊力增加
buff_idx_1005413_name_key,보스 픽셀 피해량 증가,Increase boss pixel damage,boss砖块伤害增加,boss磚塊傷害增加
buff_idx_1005513_name_key,일반 픽셀 피해량 증가,Increase regular pixel damage,普通砖块破坏力增加,普通磚塊破壞力增加
buff_idx_1000021_name_key,! 건설자 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n穿着土系服装时.最终伤害提高50％\n-触发条件：配备施工服装！--,！建築師的協同效果指南！\n穿著土系服裝時.最終傷害提高50％\n-觸發條件：配備施工服裝！--
buff_idx_1000121_name_key,! 건설자 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n配备风系服装时.将最终伤害提高50％\n-触发条件:装备施工服装！--,！建築師的協同效果指南！\n配備風系服裝時.將最終傷害提高50％\n-觸發條件:裝備施工服裝！--
buff_idx_1000221_name_key,! 건설자 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n装备火系服装时.最终伤害提高50％\n-触发条件：配备施工服装！--,！建築師的協同效果指南！\n裝備火系服裝時.最終傷害提高50％\n-觸發條件：配備施工服裝！--
buff_idx_1000321_name_key,! 건설자 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n装备火系服装时.最终伤害提高50％\n-触发条件：配备施工服装！--,！建築師的協同效果指南！\n裝備火系服裝時.最終傷害提高50％\n-觸發條件：配備施工服裝！--
buff_idx_1000421_name_key,! 경찰관 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 경찰관 의상 장착! -,! Police Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing police outfit!,！警察协同效果信息！\n穿着土系服装时。最终伤害提高50％\n-触发条件：装备警察服装！--,！員警協同效果資訊！\n穿著土系服裝時。最終傷害提高50％\n-觸發條件：裝備員警服裝！--
buff_idx_1000521_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1000621_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1000721_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1000821_name_key,! 서부시대 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！有关西方时代协同效应的信息！\n穿着土地服装时。将最终伤害提高50％\n-触发条件。配备西方服装！--,！有關西方時代協同效應的資訊！\n穿著土地服裝時。將最終傷害提高50％\n-觸發條件。配備西方服裝！--
buff_idx_1000921_name_key,! 소방관 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 소방관 의상 장착! -,! Firefighter Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing firefighter outfit!,！消防员的协同效果指南！\n穿着水系服装时.最终伤害提高50％\n-触发条件：装备消防员服装！--,！消防員的協同效果指南！\n穿著水系服裝時.最終傷害提高50％\n-觸發條件：裝備消防員服裝！--
buff_idx_1001021_name_key,! 스페이스 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 스페이스 의상 장착! -,! Space Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing space outfit!,！太空的协同效果指南！\n装备水系服装时.最终伤害提高50％\n-触发条件：配备太空服！--,！太空的協同效果指南！\n裝備水系服裝時.最終傷害提高50％\n-觸發條件：配備太空服！--
buff_idx_1001121_name_key,! 스페이스 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 스페이스 의상 장착! -,! Space Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space outfit!,！太空协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：配备太空服！--,！太空協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：配備太空服！--
buff_idx_1001221_name_key,! 우주 전사 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 우주 전사 의상 장착! -,! Space Warrior Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space warrior outfit!,！宇宙勇士协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备太空战士服装！--,！宇宙勇士協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備太空戰士服裝！--
buff_idx_1001321_name_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1001421_name_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1001521_name_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1001621_name_key,! 프로레슬러 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 프로레슬러 의상 장착! -,! Pro Wrestler Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing pro wrestler outfit!,！职业摔跤手的协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备专业摔跤服！--,！職業摔跤手的協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備專業摔跤服！--
buff_idx_1001721_name_key,! 프로레슬러 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 프로레슬러 의상 장착! -,! Pro Wrestler Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing pro wrestler outfit!,！职业摔跤手协同效果指南！\n穿着水系服装时.最终伤害提高50％\n-触发条件。配备专业摔跤服！--,！職業摔跤手協同效果指南！\n穿著水系服裝時.最終傷害提高50％\n-觸發條件。配備專業摔跤服！--
buff_idx_1001821_name_key,! 해적왕 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 해적왕 의상 장착! -,! Pirate King Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing pro pirate king outfit!,！海盗王协同效应指南！\n穿着戏水服装时。将最终伤害提高50％\n-触发条件。装备了海盗王装！--,！海盜王協同效應指南！\n穿著戲水服裝時。將最終傷害提高50％\n-觸發條件。裝備了海盜王裝！--
buff_idx_1001921_name_key,! 건설자 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n穿着土系服装时.最终伤害提高50％\n-触发条件：配备施工服装！--,！建築師的協同效果指南！\n穿著土系服裝時.最終傷害提高50％\n-觸發條件：配備施工服裝！--
buff_idx_1002021_name_key,! 건설자 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同指南！\n装备水系服装时。将最终伤害提高50％\n-触发条件：装备施工服装！--,！建築師的協同指南！\n裝備水系服裝時。將最終傷害提高50％\n-觸發條件：裝備施工服裝！--
buff_idx_1002121_name_key,! 경찰관 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 경찰관 의상 장착! -,! Police Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing police outfit!,！警察协同效果通知！\n穿着火系服装时.最终伤害提高50％\n-触发条件：配备警察服装！--,！員警協同效果通知！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：配備員警服裝！--
buff_idx_1002221_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002321_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002421_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002521_name_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002621_name_key,! 서부시대 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！西方时代协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备西方服装！--,！西方時代協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備西方服裝！--
buff_idx_1002721_name_key,! 서부시대 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！西方时代协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备西方服装！--,！西方時代協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備西方服裝！--
buff_idx_1002821_name_key,! 소방관 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 소방관 의상 장착! -,! Firefighter Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing firefighter outfit!,！消防员协同效果指南！\n装备火系服装时.将最终伤害提高50％\n-触发条件：装备消防员服装！--,！消防員協同效果指南！\n裝備火系服裝時.將最終傷害提高50％\n-觸發條件：裝備消防員服裝！--
buff_idx_1002921_name_key,! 스페이스 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 스페이스 의상 장착! -,! Space Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing space outfit!,！太空的协同效果指南！\n装备水系服装时.最终伤害提高50％\n-触发条件：配备太空服！--,！太空的協同效果指南！\n裝備水系服裝時.最終傷害提高50％\n-觸發條件：配備太空服！--
buff_idx_1003021_name_key,! 스페이스 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 스페이스 의상 장착! -,! Space Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing space outfit!,！太空的协同效果指南！\n装备水系服装时.最终伤害提高50％\n-触发条件：配备太空服！--,！太空的協同效果指南！\n裝備水系服裝時.最終傷害提高50％\n-觸發條件：配備太空服！--
buff_idx_1003121_name_key,! 우주 전사 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 우주 전사 의상 장착! -,! Space Warrior Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space warrior outfit!,！宇宙勇士协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备太空战士服装！--,！宇宙勇士協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備太空戰士服裝！--
buff_idx_1003221_name_key,! 우주 전사 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 우주 전사 의상 장착! -,! Space Warrior Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space warrior outfit!,！宇宙勇士协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备太空战士服装！--,！宇宙勇士協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備太空戰士服裝！--
buff_idx_1003321_name_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
